trial,temperature,kinetic_energy,n_edges,degree_mean,clustering_mean,density
258,6.0870620239421065,964.4629339352621,144.0,2.88,0.3808333333333334,0.02909090909090909
259,2.393947189847767,354.86359898251555,127.0,2.54,0.39514285714285713,0.025656565656565655
260,4.894531778699312,699.4074685031685,106.0,2.12,0.2763333333333333,0.021414141414141413
261,9.397802392903117,1428.3006408653619,119.0,2.38,0.31655555555555553,0.02404040404040404
262,2.7133917565651564,418.68006832905496,140.0,2.8,0.3868888888888889,0.028282828282828285
263,5.9411738429486975,893.1947927171838,127.0,2.54,0.39252380952380955,0.025656565656565655
264,0.9527867242797293,142.39565913326564,116.0,2.32,0.321,0.023434343434343436
265,3.9005803287816923,629.6036005620789,121.0,2.42,0.3473333333333333,0.024444444444444446
266,0.49024646380125714,65.28082192186866,140.0,2.8,0.3817857142857143,0.028282828282828285
267,2.1860061828979442,354.433617690127,145.0,2.9,0.4277857142857143,0.029292929292929294
268,4.664461264147168,677.8092984008738,126.0,2.52,0.36633333333333334,0.025454545454545455
269,6.1410770591303026,970.0837753660418,139.0,2.78,0.34978571428571426,0.02808080808080808
270,3.0559257654580856,463.6935278472658,115.0,2.3,0.38766666666666666,0.023232323232323233
271,2.6300514025253894,373.76319115248685,116.0,2.32,0.35833333333333334,0.023434343434343436
272,0.26507544836363234,38.253734536986016,122.0,2.44,0.3712857142857143,0.024646464646464646
273,2.9199169362933746,469.0638114528889,129.0,2.58,0.4024285714285714,0.026060606060606062
274,0.4687825967513346,79.28024353808672,123.0,2.46,0.3942857142857143,0.02484848484848485
275,6.661447361179141,1062.015728447302,131.0,2.62,0.4523809523809524,0.026464646464646465
276,7.494431241906972,1128.9285943412556,135.0,2.7,0.3409047619047619,0.02727272727272727
277,1.0199440448493016,169.35588806995912,115.0,2.3,0.316047619047619,0.023232323232323233
278,2.4921192668601244,372.7543738462946,115.0,2.3,0.35966666666666663,0.023232323232323233
279,2.004170344143443,302.6629903184324,116.0,2.32,0.377,0.023434343434343436
280,9.552926685657614,1352.514578982516,104.0,2.08,0.387,0.02101010101010101
281,9.636777210838229,1606.8270437179385,136.0,2.72,0.4203571428571429,0.027474747474747475
282,4.797006121022551,776.4644199275322,126.0,2.52,0.337952380952381,0.025454545454545455
283,5.2944057328159815,766.4783379897482,119.0,2.38,0.3217619047619047,0.02404040404040404
284,3.5276259526312064,549.9133353761174,123.0,2.46,0.43633333333333335,0.02484848484848485
285,8.476513438731834,1365.7295152722547,134.0,2.68,0.40904761904761905,0.02707070707070707
286,7.686559521928137,1091.3791588712718,127.0,2.54,0.3930952380952381,0.025656565656565655
287,1.5833064602235989,260.3323478871432,127.0,2.54,0.3654285714285715,0.025656565656565655
288,7.169277469666952,1078.6506586600226,143.0,2.86,0.45492857142857146,0.028888888888888888
289,6.353501663484105,769.6301530529299,125.0,2.5,0.31626190476190474,0.025252525252525252
290,9.841557415843663,1551.3439340860805,123.0,2.46,0.40099999999999997,0.02484848484848485
291,9.342135876569039,1396.6490340912533,123.0,2.46,0.43200000000000005,0.02484848484848485
292,3.0090409636869744,432.5572774918545,124.0,2.48,0.40476190476190477,0.025050505050505052
293,0.7924723224101766,118.81003435374112,133.0,2.66,0.4203333333333334,0.026868686868686868
294,0.2644837884671521,41.23967691800763,142.0,2.84,0.4366190476190476,0.028686868686868688
295,5.397877536920593,798.6447911271649,155.0,3.1,0.3927619047619048,0.031313131313131314
296,4.828892488378576,697.3431562941354,120.0,2.4,0.38100000000000006,0.024242424242424242
297,2.4849757978376226,364.1199125020292,144.0,2.88,0.41997619047619045,0.02909090909090909
298,5.873720118398481,864.7765899222288,117.0,2.34,0.2862857142857143,0.023636363636363636
299,6.2317058824864375,996.4499642579292,125.0,2.5,0.341452380952381,0.025252525252525252
300,6.697306408709997,982.1037680415752,144.0,2.88,0.3924285714285714,0.02909090909090909
301,8.87909316388991,1131.841339726328,133.0,2.66,0.3888571428571428,0.026868686868686868
302,6.7622314827382795,1052.9124239816097,121.0,2.42,0.3203333333333333,0.024444444444444446
303,1.3085216370379353,186.54001417399036,125.0,2.5,0.43,0.025252525252525252
304,6.453766149945177,918.1049499548097,125.0,2.5,0.3481428571428571,0.025252525252525252
305,9.634262358030952,1543.3676080340488,119.0,2.38,0.3003333333333333,0.02404040404040404
306,0.5707896956812527,86.47222206584898,132.0,2.64,0.3746666666666666,0.02666666666666667
307,1.3973425974246994,190.7923612661172,132.0,2.64,0.36523809523809525,0.02666666666666667
308,6.847289845009803,1046.8572771204438,137.0,2.74,0.3390714285714286,0.027676767676767678
309,7.70780573501029,1168.4947626925814,129.0,2.58,0.3643333333333334,0.026060606060606062
310,3.895390141174134,566.561215663209,139.0,2.78,0.4056666666666667,0.02808080808080808
311,8.44613344302603,1170.246827401856,126.0,2.52,0.3486666666666667,0.025454545454545455
